load_kw,pv_kw,battery_net_injection_kw,battery_soc_kWh,timestamp,converged,voltage_violation,line_overload,transformer_overload,feasible,minimum_voltage_pu,maximum_voltage_pu,maximum_current_a,line_normal_rating_a,line_loading_percent,transformer_apparent_power_kva,transformer_loading_percent,transformer_real_loss_kw,feeder_input_real_power_kw,pcc_grid_net_import_kw,pcc_grid_import_kw,pcc_grid_export_kw,reverse_power_flow,feeder_real_loss_kw,scheduled_grid_import_kw,receiving_end_real_power_kw,grid_import_error_kw
25.0,25.980762113533157,-0.98076305698766,11.42043274512428,2026-08-25 10:00:00-07:00,True,False,False,False,True,0.9992227309629513,0.9992227310606204,9.891290931694027,800.0,1.2364113664617533,8.224056805076668,1.0965409073435557,0.000901753840127369,0.0005879814337932746,0.0014897352804306252,0.0014897352804306252,0.0,False,0.0005870279247439412,0.0,9.535090493334366e-07,9.535090493334366e-07
25.0,26.906182245980652,-1.9061862059293977,11.87315196482724,2026-08-25 10:15:00-07:00,True,False,False,False,True,0.9992227308838787,0.9992227309815488,9.89129109108823,800.0,1.2364113863860287,8.224056937576307,1.0965409250101743,0.0009017538698067019,0.0005909878925439004,0.0014927417616291162,0.0014927417616291162,0.0,False,0.0005870279439552527,3.973540358548593e-06,3.959948588647729e-06,-1.3591769900863866e-08
25.0,27.716385975338603,-4.308795424334523,12.8964908739019,2026-08-25 10:30:00-07:00,True,False,False,False,True,0.9991874427786708,0.9991874428763445,10.075670971651869,800.0,1.2594588714564836,8.37733383848509,1.1169778451313452,0.0009356826300106605,1.5930183802652491,1.5939540628983904,1.5939540628983904,0.0,False,0.000609116979962323,1.592409462597711,1.5924092632852869,-1.9931242412063455e-07
25.0,28.40790388485317,-3.4079052700034613,13.705868371323303,2026-08-25 10:45:00-07:00,True,False,False,False,True,0.9992227308875298,0.9992227309851995,9.891291754963559,800.0,1.2364114693704449,8.224057489527757,1.096540998603701,0.0009017539898471044,0.0005884662207347611,0.0014902202123858554,0.0014902202123858554,0.0,False,0.0005870280210869955,1.3987608997073494e-06,1.4381996477656409e-06,3.943874805829148e-08
25.0,28.97777478867205,-3.9777752687666457,14.650589993451597,2026-08-25 11:00:00-07:00,True,False,False,False,True,0.999222730960966,0.9992227310586361,9.891291090303353,800.0,1.2364113862879191,8.224056936946353,1.0965409249261804,0.0009017538701002301,0.0005875080380506067,0.001489261908552871,0.001489261908552871,0.0,False,0.0005870279459864797,0.0,4.800920641269066e-07,4.800920641269066e-07
25.0,29.423558412096913,-4.423559355500178,15.70118533618044,2026-08-25 11:15:00-07:00,True,False,False,False,True,0.9992227309507035,0.9992227310483732,9.891291090418786,800.0,1.2364113863023483,8.2240569370211,1.0965409249361466,0.0009017538705199889,0.0005879713490756326,0.0014897252182178695,0.0014897252182178695,0.0,False,0.0005870279420312742,0.0,9.434070443583914e-07,9.434070443583914e-07
25.0,29.74334584121431,-4.74334675921306,16.82773018729488,2026-08-25 11:30:00-07:00,True,False,False,False,True,0.9992227309512653,0.9992227310489358,9.891291090398047,800.0,1.2364113862997559,8.22405693702333,1.096540924936444,0.0009017538699123664,0.0005879459430126483,0.001489699811968961,0.001489699811968961,0.0,False,0.000587027946132046,0.0,9.17996880602282e-07,9.17996880602282e-07
25.0,29.935767697158106,-4.935768020709657,17.99997508803373,2026-08-25 11:45:00-07:00,True,False,False,False,True,0.9992227309644348,0.9992227310621049,9.891291090265232,800.0,1.236411386283154,8.2240569369064,1.0965409249208535,0.0009017538696840129,0.000587351488497584,0.001489105361379236,0.001489105361379236,0.0,False,0.0005870279428606326,0.0,3.2354563695140975e-07,3.2354563695140975e-07
35.0,30.0,0.0,17.999975133415493,2026-08-25 12:00:00-07:00,True,False,False,False,True,0.9988005672034557,0.9988005673011735,15.10560450604875,800.0,1.8882005632560939,12.559058845402403,1.674541179386987,0.002103015381553632,5.001358993649834,5.0034620090305895,5.0034620090305895,0.0,False,0.0013690786746726644,5.0000002186770764,4.999989914975162,-1.030370191479335e-05
35.0,29.935767697158106,0.0,17.99997516820773,2026-08-25 12:15:00-07:00,True,False,False,False,True,0.9987991382290047,0.9987991383267221,15.136656311847295,800.0,1.892082038980912,12.584873400964991,1.6779831201286657,0.0021116699146259636,5.065606981321793,5.067718651240471,5.067718651240471,0.0,False,0.0013747131301329318,5.06423247613217,5.0642322681916605,-2.0794050925587726e-07
